country,university
HK,Hong Kong Baptist University
HK,Hong Kong Baptist University
HK,Hong Kong Polytechnic University
HK,Hong Kong Polytechnic University
HK,Hong Kong University of Science and Technology
HK,Hong Kong University of Science and Technology
HK,University of Hong Kong
HK,University of Hong Kong
HU,University of Szeged
HU,University of Szeged
IE,Dublin City University
IE,Dublin City University
IE,"National University of Ireland, Galway"
IE,"National University of Ireland, Galway"
IE,"National University of Ireland, Maynooth"
IE,"National University of Ireland, Maynooth"
IE,University College Cork
IE,University College Cork
IE,University College Dublin
IE,University College Dublin
IE,University of Limerick
IE,University of Limerick
IL,Bar-Ilan University
IL,Bar-Ilan University
IL,Ben-Gurion University of the Negev
IL,Ben-Gurion University of the Negev
IL,Hebrew University of Jerusalem
IL,Hebrew University of Jerusalem
IL,Hebrew University of Jerusalem
IL,Hebrew University of Jerusalem
IL,Tel Aviv University
IL,Tel Aviv University
IL,Tel Aviv University
IL,Tel Aviv University
IL,University of Haifa
IL,University of Haifa
IN,Indian Institute of Science
IN,Indian Institute of Science
IN,Jadavpur University
IN,Jadavpur University
IN,Panjab University
IN,Panjab University
IN,University of Calcutta
IN,University of Delhi
IN,University of Delhi
IR,Amirkabir University of Technology
IR,Amirkabir University of Technology
IR,Isfahan University of Technology
IR,Isfahan University of Technology
IR,Sharif University of Technology
IR,Sharif University of Technology
IR,Tehran University of Medical Sciences
IR,Tehran University of Medical Sciences
IR,University of Tehran
IR,University of Tehran
IS,University of Iceland
IS,University of Iceland
IT,Catholic University of the Sacred Heart
IT,Catholic University of the Sacred Heart
IT,University of Bologna
IT,University of Bologna
IT,University of Brescia
IT,University of Brescia
IT,University of Cagliari
IT,University of Cagliari
IT,University of Catania
IT,University of Catania
IT,University of Ferrara
IT,University of Ferrara
IT,University of Florence
IT,University of Florence
IT,University of Genoa
IT,University of Genoa
IT,University of Milan
IT,University of Milan
IT,University of Naples Federico II
IT,University of Naples Federico II
IT,University of Padua
IT,University of Padua
IT,University of Palermo
IT,University of Palermo
IT,University of Parma
IT,University of Parma
IT,University of Pavia
IT,University of Pavia
IT,University of Pisa
IT,University of Pisa
IT,University of Siena
IT,University of Siena
IT,University of Trento
IT,University of Trento
IT,University of Trieste
IT,University of Trieste
IT,University of Turin
IT,University of Turin
JP,Chiba University
JP,Chiba University
JP,Ehime University
JP,Ehime University
JP,Gifu University
JP,Gifu University
JP,Hiroshima University
JP,Hiroshima University
JP,Hokkaido University
JP,Hokkaido University
JP,Juntendo University
JP,Juntendo University
JP,Kanazawa University
JP,Kanazawa University
JP,Keio University
JP,Keio University
JP,Keio University
JP,Kobe University
JP,Kobe University
JP,Korea University
JP,Korea University
KR,Korea University
KR,Korea University
JP,Kumamoto University
JP,Kumamoto University
JP,Kyoto University
JP,Kyoto University
JP,Kyoto University
JP,Kyoto University
JP,Kyushu University
JP,Kyushu University
JP,Nagasaki University
JP,Nagasaki University
JP,Nagoya University
JP,Nagoya University
JP,Nagoya University
JP,Nagoya University
JP,Niigata University
JP,Niigata University
JP,Okayama University
JP,Okayama University
JP,Osaka City University
JP,Osaka City University
JP,Osaka University
JP,Osaka University
JP,Osaka University
JP,Osaka University
JP,Saitama University
JP,Saitama University
JP,Shinshu University
JP,Shinshu University
JP,Showa University
JP,Showa University
JP,Tohoku University
JP,Tohoku University
JP,Tohoku University
JP,Tohoku University
JP,Tokai University
JP,Tokai University
JP,Tokyo Institute of Technology
JP,Tokyo Institute of Technology
JP,Tokyo Metropolitan University
JP,Tokyo Metropolitan University
JP,Tokyo University of Agriculture and Technology
JP,Tokyo University of Agriculture and Technology
JP,Tottori University
JP,Tottori University
JP,Waseda University
JP,Waseda University
JP,Yokohama City University
JP,Yokohama City University
JP,Yokohama National University
JP,Yokohama National University
KR,Ajou University
KR,Ajou University
KR,Chonbuk National University
KR,Chonbuk National University
KR,Chonnam National University
KR,Chonnam National University
KR,Chung-Ang University
KR,Chung-Ang University
KR,Chungnam National University
KR,Chungnam National University
KR,Hanyang University
KR,Hanyang University
KR,Inha University
KR,Inha University
KR,Konkuk University
KR,Konkuk University
KR,Kyungpook National University
KR,Kyungpook National University
KR,Pohang University of Science and Technology
KR,Pohang University of Science and Technology
KR,Pusan National University
KR,Pusan National University
KR,Sejong University
KR,Sejong University
KR,Seoul National University
KR,Seoul National University
KR,Seoul National University
KR,Seoul National University
KR,Sogang University
KR,Sogang University
KR,Yeungnam University
KR,Yeungnam University
KR,Yonsei University
KR,Yonsei University
LB,American University of Beirut
LB,American University of Beirut
LT,Vilnius University
LT,Vilnius University
NL,Delft University of Technology
NL,Delft University of Technology
NL,Eindhoven University of Technology
NL,Eindhoven University of Technology
NL,Erasmus University Rotterdam
NL,Erasmus University Rotterdam
NL,Leiden University
NL,Leiden University
NL,Leiden University
NL,Tilburg University
NL,Tilburg University
NL,University of Amsterdam
NL,University of Amsterdam
NL,University of Groningen
NL,University of Groningen
NL,University of Twente
NL,University of Twente
NL,Utrecht University
NL,Utrecht University
NL,Utrecht University
NL,Utrecht University
NO,Norwegian University of Science and Technology
NO,Norwegian University of Science and Technology
NO,University of Bergen
NO,University of Bergen
NO,University of Oslo
NO,University of Oslo
NO,University of Oslo
NO,University of Oslo
NZ,Massey University
NZ,Massey University
NZ,University of Auckland
NZ,University of Auckland
NZ,University of Canterbury
NZ,University of Canterbury
NZ,University of Otago
NZ,University of Otago
NZ,University of Waikato
NZ,University of Waikato
NZ,Victoria University of Wellington
NZ,Victoria University of Wellington
PH,Saint Louis University
PH,Saint Louis University
PL,AGH University of Science and Technology
PL,AGH University of Science and Technology
PL,University of Warsaw
PL,University of Warsaw
RO,University of Bucharest
RO,University of Bucharest
RS,University of Belgrade
RS,University of Belgrade
RU,Moscow Institute of Physics and Technology
RU,Novosibirsk State University
RU,Novosibirsk State University
SA,King Saud University
SA,King Saud University
SE,Chalmers University of Technology
SE,Chalmers University of Technology
SE,Linköping University
SE,Linköping University
SE,Lund University
SE,Lund University
SE,Örebro University
SE,Örebro University
SE,Stockholm University
SE,Stockholm University
SE,Swedish University of Agricultural Sciences
SE,Swedish University of Agricultural Sciences
SE,Uppsala University
SE,Uppsala University
SG,Nanyang Technological University
SG,Nanyang Technological University
SG,National University of Singapore
SG,National University of Singapore
SG,National University of Singapore
SI,University of Ljubljana
SI,University of Ljubljana
SI,University of Maribor
SI,University of Maribor
SK,Comenius University in Bratislava
SK,Comenius University in Bratislava
TH,Chiang Mai University
TH,Chiang Mai University
TH,Chulalongkorn University
TH,Chulalongkorn University
TH,Mahidol University
TH,Mahidol University
TR,Bilkent University
TR,Bilkent University
TR,Hacettepe University
TR,Hacettepe University
TR,Istanbul Technical University
TR,Istanbul Technical University
TR,Istanbul University
TR,Istanbul University
TR,Middle East Technical University
TR,Middle East Technical University
TW,Chang Gung University
TW,Chang Gung University
TW,Chung Yuan Christian University
TW,Chung Yuan Christian University
TW,Feng Chia University
TW,Feng Chia University
TW,Fu Jen Catholic University
TW,Fu Jen Catholic University
TW,I-Shou University
TW,National Central University
TW,National Central University
TW,National Cheng Kung University
TW,National Cheng Kung University
TW,National Chiao Tung University
TW,National Chiao Tung University
TW,National Chung Cheng University
TW,National Chung Cheng University
TW,National Taipei University of Technology
TW,National Taiwan Normal University
TW,National Taiwan Normal University
TW,National Taiwan Ocean University
TW,National Taiwan Ocean University
TW,National Taiwan University
TW,National Taiwan University
TW,Yuan Ze University
TW,Yuan Ze University
UG,Makerere University
UG,Makerere University
US,Arizona State University
US,Arizona State University
US,Arizona State University
US,Arizona State University
US,Auburn University
US,Auburn University
US,Boston College
US,Boston College
US,Boston University
US,Boston University
US,Boston University
US,Boston University
US,Brandeis University
US,Brandeis University
US,Brown University
US,Brown University
US,Brown University
US,Brown University
US,California Institute of Technology
US,California Institute of Technology
US,California Institute of Technology
US,California Institute of Technology
US,Carnegie Mellon University
US,Carnegie Mellon University
US,Carnegie Mellon University
US,Carnegie Mellon University
US,Case Western Reserve University
US,Case Western Reserve University
US,Case Western Reserve University
US,Clemson University
US,Clemson University
US,Colorado School of Mines
US,Colorado School of Mines
US,Columbia University
US,Columbia University
US,Columbia University
US,Columbia University
US,Cornell University
US,Cornell University
US,Cornell University
US,Cornell University
US,Creighton University
US,Creighton University
US,Dartmouth College
US,Dartmouth College
US,Dartmouth College
US,Dartmouth College
US,Drexel University
US,Drexel University
US,Duke University
US,Duke University
US,Duke University
US,Duke University
US,Emory University
US,Emory University
US,Emory University
US,Emory University
US,Florida Institute of Technology
US,Florida Institute of Technology
US,Florida International University
US,Florida International University
US,Florida State University
US,Florida State University
US,George Mason University
US,George Mason University
US,Georgetown University
US,Georgetown University
US,George Washington University
US,George Washington University
US,Georgia Institute of Technology
US,Georgia Institute of Technology
US,Georgia Institute of Technology
US,Georgia Institute of Technology
US,Georgia State University
US,Georgia State University
US,Harvard University
US,Harvard University
US,Harvard University
US,Harvard University
US,Howard University
US,Howard University
US,Illinois Institute of Technology
US,Illinois Institute of Technology
US,Johns Hopkins University
US,Johns Hopkins University
US,Johns Hopkins University
US,Johns Hopkins University
US,Kansas State University
US,Kansas State University
US,Kent State University
US,Kent State University
US,Massachusetts Institute of Technology
US,Massachusetts Institute of Technology
US,Massachusetts Institute of Technology
US,Massachusetts Institute of Technology
